title,total_reviews,safe_reviews,unsafe_reviews,classified_reviews,safety_pct,ranking_score,safety_label,address,placeId,price,categoryName,menu,lat,lng
Regretless - Low Carb Pleasure,777,128,2,130,0.9846153846153847,315.0,safe,"Mid City Centre, Shop 13-14/200 Bourke St, Melbourne VIC 3000, Australia",ChIJr_-E1mVD1moRXASlIAsvPtA,A$1–20,Cafe,https://regretlessau.square.site/cafe-menu,,
Robo Mao,553,127,4,131,0.9694656488549618,307.5,safe,"214 Little Bourke St, Melbourne VIC 3000, Australia",ChIJq4oIJMpC1moR1KImxUlIAI8,A$20–40,Chinese restaurant,http://www.robomao.com.au/,,
Seedling Cafe,454,103,3,106,0.9716981132075472,250.0,safe,"275 Flinders Ln, Melbourne VIC 3000, Australia",ChIJ2f-iFLRC1moRL9heOZ7yBS4,A$20–40,Health food restaurant,https://www.seedlingcafe.com.au/menu,,
Kudo,342,97,0,97,1.0,242.5,safe,"8 Little Collins St, Melbourne VIC 3000, Australia",ChIJq9opOaND1moRnDp8ZgDkx7s,A$1–20,Bakery,,,
Roccella Italian Restaurant East Melbourne,846,81,2,83,0.9759036144578314,197.5,safe,"158 Clarendon St, East Melbourne VIC 3002, Australia",ChIJiWZcQlZD1moReLf1KVvQ98M,A$40–60,Italian restaurant,https://www.roccellamelbourne.com.au/menu?utm_source=GMB&utm_medium=traffic&utm_campaign=direct&utm_term=menu,,
Hotel Nacional,448,72,2,74,0.972972972972973,175.0,safe,"23-25 Hardware Ln, Melbourne VIC 3000, Australia",ChIJ_1DxAkJD1moRmusslphummc,,Mexican restaurant,https://www.hotelnacional.co/food,,
A25 Pizzeria Centro (CBD),550,68,0,68,1.0,170.0,safe,"397 Little Collins St, Melbourne VIC 3000, Australia",ChIJBSIvyEpd1moRXo6K829C--Q,A$20–40,Italian restaurant,https://a25.com.au/menus/,,
Bodega Underground,710,45,1,46,0.9782608695652174,110.0,safe,"55 Little Bourke St, Melbourne VIC 3000, Australia",ChIJv6N7tshC1moRWE3v9GD65QU,$$,Mexican restaurant,https://www.bodegaunderground.com.au/menu.html,,
Roule Galette,738,41,1,42,0.9761904761904762,100.0,safe,"Shop 1/241 Flinders Ln, Melbourne VIC 3000, Australia",ChIJCYzQJbRC1moRnD9tQLJY4PU,A$20–40,French restaurant,http://www.roulegalette.com.au/crepe-and-galette-menu,,
Chocolate Buddha,715,29,0,29,1.0,72.5,safe,"Federation Square, Swanston St & Flinders St, Melbourne VIC 3000, Australia",ChIJT8T86bZC1moR8qVV13PNTsc,A$40–60,Japanese restaurant,http://chocolatebuddha.com.au/menu/,,
