title,total_reviews,safe_reviews,unsafe_reviews,classified_reviews,safety_pct,ranking_score,safety_label,address,placeId,price,categoryName,menu,lat,lng
Piccolina Gelateria,718,120,1,121,0.9917355371900827,297.5,safe,"43 Hardware Ln, Melbourne VIC 3000, Australia",ChIJV5RpXR1d1moRVqlvLPQvIuk,$$,Ice cream shop,https://www.piccolinagelateria.com.au/shop,-37.81356299999999,144.9611247
Roccella Italian Restaurant East Melbourne,846,107,4,111,0.963963963963964,257.5,safe,"158 Clarendon St, East Melbourne VIC 3002, Australia",ChIJiWZcQlZD1moReLf1KVvQ98M,A$40–60,Italian restaurant,https://www.roccellamelbourne.com.au/menu?utm_source=GMB&utm_medium=traffic&utm_campaign=direct&utm_term=menu,-37.8119728,144.9835404
Regretless - Low Carb Pleasure,777,77,2,79,0.9746835443037974,187.5,safe,"Mid City Centre, Shop 13-14/200 Bourke St, Melbourne VIC 3000, Australia",ChIJr_-E1mVD1moRXASlIAsvPtA,A$1–20,Cafe,https://regretlessau.square.site/cafe-menu,-37.8122805,144.9672498
Roule Galette,738,49,0,49,1.0,122.5,safe,"Shop 1/241 Flinders Ln, Melbourne VIC 3000, Australia",ChIJCYzQJbRC1moRnD9tQLJY4PU,A$20–40,French restaurant,http://www.roulegalette.com.au/crepe-and-galette-menu,-37.8167363,144.966279
Romo Pizza Bar,537,45,3,48,0.9375,105.0,safe,"21 Katherine Pl, Melbourne VIC 3000, Australia",ChIJxbr0FZFd1moRQHxEjpKLZIs,A$20–40,Pizza restaurant,http://www.romopizzabar.com.au/,-37.8198897,144.9564021
Robo Mao,553,38,0,38,1.0,95.0,safe,"214 Little Bourke St, Melbourne VIC 3000, Australia",ChIJq4oIJMpC1moR1KImxUlIAI8,A$20–40,Chinese restaurant,http://www.robomao.com.au/,-37.8121663,144.96628
Kudo,342,37,0,37,1.0,92.5,safe,"8 Little Collins St, Melbourne VIC 3000, Australia",ChIJq9opOaND1moRnDp8ZgDkx7s,A$1–20,Bakery,,-37.812403,144.9730281
Square & Compass,450,37,1,38,0.9736842105263158,90.0,safe,"222 Clarendon St, East Melbourne VIC 3002, Australia",ChIJExrt7-dC1moRWgvD2gf6J50,A$20–40,Cafe,http://squareandcompass.com.au/_pdfs/menu.pdf,-37.809698,144.9839472
Chin Chin,774,35,1,36,0.9722222222222222,85.0,safe,"125 Flinders Ln, Melbourne VIC 3000, Australia",ChIJ__3SxLdC1moRvQXAfpwM1hI,$$,Asian restaurant,,-37.8156149,144.9703757
KATA KITA,722,31,0,31,1.0,77.5,safe,"266 La Trobe St, Melbourne VIC 3000, Australia",ChIJee7jt2lD1moRZMlJpG1zbTs,A$20–40,Asian restaurant,https://www.katakita.com.au/wp-content/uploads/2025/03/KK-FOOD.pdf,-37.8099775,144.9620272
My Goodness,626,29,0,29,1.0,72.5,safe,"186 City Rd, Southbank VIC 3006, Australia",ChIJ843x0KxC1moRQO7OEKKp_tY,A$20–40,Restaurant,https://mygoodness.redcatcloud.com.au/weborder/,-37.8241584,144.961876
Cookie,690,25,1,26,0.9615384615384616,60.0,safe,"252 Swanston St, Melbourne VIC 3000, Australia",ChIJL5DOQcpC1moRji9-TYh3UUQ,$$,Bar,https://www.cookiemelbourne.com.au/,-37.8120053,144.965164
Keki milk bar,425,23,0,23,1.0,57.5,safe,"350 La Trobe St, Melbourne VIC 3000, Australia",ChIJ0yx2kS5d1moRj8kJypX6nRk,A$1–20,Cafe,,-37.8106785,144.9592774
SpudBAR Richmond,127,23,0,23,1.0,57.5,safe,"226 Swan St, Richmond VIC 3121, Australia",ChIJ3YLg4oxC1moR_cyUMOxetII,A$1–20,Health food restaurant,https://spudbar.com.au/menu,-37.8257418,144.9972064
A25 Pizzeria Centro (CBD),550,21,1,22,0.9545454545454546,50.0,safe,"397 Little Collins St, Melbourne VIC 3000, Australia",ChIJBSIvyEpd1moRXo6K829C--Q,A$20–40,Italian restaurant,https://a25.com.au/menus/,-37.8158796,144.9616383
